Leetcode Number,LeetCode Question,Type of Question,One Line Solution
230,Kth Smallest Element in a BST,"BST,DFS","using a stack and keeping track of num of nodes visited, while curr or stack exists keep iterating through left nodes, once no more left nodes make curr the last item in the stack, check if the number of nodes visited equals k if it does return the current node value, if it doesn't, set curr to curr.right"
450,Delete Node in a BST,BST,"return none if no root, traverse through the BST until you have found the node, once the node is found, if one of the children doesn't exist, return the other child, otherwise, find the min in the right subtree, set the node val to that val, then call delete node on the right subtree with node.right and min.val"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
